date;account;other_account;name;balance_after_transaction;transaction_value
2020-05-10;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;55.34;3.0
2020-05-17;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;58.34;3.0
2020-05-24;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;61.34;3.0
2020-05-25;NL68ABNA9548056305;NL87INGB9688157082;AH 1208 Utrecht;58.980000000000004;-2.36
2020-05-26;NL68ABNA9548056305;NL24INGB5924436675;DIRK VDBROEK FIL3489;56.160000000000004;-2.82
2020-05-29;NL68ABNA9548056305;NL13ABNA7434587830;Bakkerij t Stoepje;53.7;-2.46
2020-05-31;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;56.7;3.0
2020-06-02;NL68ABNA9548056305;NL67ABNA1070230618;Jumbo Leidsche Rijn;55.59;-1.11
2020-06-02;NL68ABNA9548056305;NL17RABO4115845937;Intertoys;46.57000000000001;-9.02
2020-06-07;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;49.57000000000001;3.0
2020-06-11;NL68ABNA9548056305;NL87INGB9688157082;AH 1208 Utrecht;48.99000000000001;-0.58
2020-06-14;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;51.99000000000001;3.0
2020-06-21;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;54.99000000000001;3.0
2020-06-25;NL68ABNA9548056305;NL87INGB9688157082;AH 1208 Utrecht;52.040000000000006;-2.95
2020-06-26;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;67.04;15.0
2020-06-26;NL68ABNA9548056305;NL05RABO8181091612;Hanneke Leber;82.04;15.0
2020-06-28;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;85.04;3.0
2020-07-05;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;88.04;3.0
2020-07-12;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;91.04;3.0
2020-07-19;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;94.04;3.0
2020-07-26;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;97.04;3.0
2020-08-02;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;100.04;3.0
2020-08-04;NL68ABNA9548056305;NL67ABNA1070230618;Jumbo Leidsche Rijn;98.58000000000001;-1.46
2020-08-06;NL68ABNA9548056305;NL09RABO9999810888;Petronella Sieren;143.58;45.0
2020-08-06;NL68ABNA9548056305;NL84ABNA1158470533;Menno Vredenburg;183.58;40.0
2020-08-06;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;213.58;30.0
2020-08-09;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;216.58;3.0
2020-08-13;NL68ABNA9548056305;NL13ABNA4388522244;Intratuin Utrecht;206.87;-9.71
2020-08-16;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;209.87;3.0
2020-08-20;NL68ABNA9548056305;NL24INGB5924436675;DIRK VDBROEK FIL3489;207.69;-2.18
2020-08-23;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;210.69;3.0
2020-08-24;NL68ABNA9548056305;NL24INGB5924436675;DIRK VDBROEK FIL3489;208.41;-2.28
2020-08-30;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;211.41;3.0
2020-08-30;NL68ABNA9548056305;NL13ABNA7434587830;Bakkerij t Stoepje;209.6;-1.81
2020-09-06;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;212.6;3.0
2020-09-10;NL68ABNA9548056305;NL13ABNA7434587830;Bakkerij t Stoepje;210.60999999999999;-1.99
2020-09-13;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;213.60999999999999;3.0
2020-09-20;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;216.60999999999999;3.0
2020-09-23;NL68ABNA9548056305;NL67ABNA1070230618;Jumbo Leidsche Rijn;215.98999999999998;-0.62
2020-09-23;NL68ABNA9548056305;NL80RABO3777087823;Mediamarkt;182.76999999999998;-33.22
2020-09-27;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;185.76999999999998;3.0
2020-09-28;NL68ABNA9548056305;NL49INGB5406040774;Jamin;182.51999999999998;-3.25
2020-10-04;NL68ABNA9548056305;NL18INGB9657789273;Tineke Vliet;185.51999999999998;3.0
