date;account;other_account;name;balance_after_transaction;transaction_value
2020-05-07;NL98INGB1415694826;NL84ABNA1158470533;Jumbo Leidsche Rijn;41.9;-0.95
2020-05-12;NL98INGB1415694826;NL85INGB4031638493;Jamin;39.18;-2.72
2020-05-20;NL98INGB1415694826;NL67ABNA1965265332;Bakkerij t Stoepje;35.46;-3.72
2020-05-25;NL98INGB1415694826;NL07INGB9788055427;Maurits Busker;45.46;10.0
2020-05-27;NL98INGB1415694826;NL67ABNA1965265332;Bakkerij t Stoepje;42.17;-3.29
2020-06-01;NL98INGB1415694826;NL18INGB9657789273;AH 1208 Utrecht;40.78;-1.39
2020-06-02;NL98INGB1415694826;NL84ABNA1158470533;Jumbo Leidsche Rijn;38.550000000000004;-2.23
2020-06-03;NL98INGB1415694826;NL66RABO3526558027;Annemarie Meuse;48.550000000000004;10.0
2020-06-03;NL98INGB1415694826;NL80RABO3777087823;Tineke Vliet;73.55000000000001;25.0
2020-06-03;NL98INGB1415694826;NL07INGB9788055427;Maurits Busker;98.55000000000001;25.0
2020-06-10;NL98INGB1415694826;NL84ABNA1158470533;Jumbo Leidsche Rijn;97.33000000000001;-1.22
2020-06-20;NL98INGB1415694826;NL92ABNA6770096250;Intertoys;89.04000000000002;-8.29
2020-06-22;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;86.30000000000003;-2.74
2020-06-25;NL98INGB1415694826;NL07INGB9788055427;Maurits Busker;96.30000000000003;10.0
2020-07-02;NL98INGB1415694826;NL84ABNA1158470533;Jumbo Leidsche Rijn;93.32000000000002;-2.98
2020-07-10;NL98INGB1415694826;NL84ABNA1158470533;Jumbo Leidsche Rijn;91.28000000000002;-2.04
2020-07-14;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;90.74000000000001;-0.54
2020-07-24;NL98INGB1415694826;NL67ABNA1965265332;Bakkerij t Stoepje;88.44000000000001;-2.3
2020-07-25;NL98INGB1415694826;NL07INGB9788055427;Maurits Busker;98.44000000000001;10.0
2020-07-27;NL98INGB1415694826;NL18INGB9657789273;AH 1208 Utrecht;96.35000000000001;-2.09
2020-07-27;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;94.00000000000001;-2.35
2020-08-01;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;92.68000000000002;-1.32
2020-08-05;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;89.96000000000002;-2.72
2020-08-05;NL98INGB1415694826;NL85INGB4031638493;Jamin;87.99000000000002;-1.97
2020-08-06;NL98INGB1415694826;NL85INGB4031638493;Jamin;85.37000000000002;-2.62
2020-08-10;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;82.76000000000002;-2.61
2020-08-20;NL98INGB1415694826;NL67ABNA1965265332;Bakkerij t Stoepje;81.44000000000003;-1.32
2020-08-25;NL98INGB1415694826;NL07INGB9788055427;Maurits Busker;91.44000000000003;10.0
2020-09-04;NL98INGB1415694826;NL67ABNA1965265332;Bakkerij t Stoepje;87.90000000000002;-3.54
2020-09-06;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;87.30000000000003;-0.6
2020-09-09;NL98INGB1415694826;NL68ABNA9548056305;ETOS 3297;82.06000000000003;-5.24
2020-09-10;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;79.56000000000003;-2.5
2020-09-16;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;77.97000000000003;-1.59
2020-09-25;NL98INGB1415694826;NL07INGB9788055427;Maurits Busker;87.97000000000003;10.0
2020-10-13;NL98INGB1415694826;NL67ABNA1070230618;DIRK VDBROEK FIL3489;85.30000000000003;-2.67
